Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 65,3141.6785,5962.1245,-1251.0803,3241.4597,6003.8696,-1168.5323,136.06293
Satellite 66,-6478.089,-1891.4763,-1613.9545,-6439.0986,-1816.5322,-1643.2255,89.40719
Satellite 67,-2156.651,-4505.8105,4779.305,-2019.1293,-4519.134,4714.451,152.62943
Satellite 68,-6663.454,-71.817406,-1652.3307,-6616.644,-40.059258,-1643.2255,57.29456
Satellite 69,3034.2234,-1518.945,-6308.8574,2889.7634,-1429.2185,-6288.226,171.3043
Satellite 70,5057.458,403.32474,4718.9478,5045.3613,373.91104,4703.3667,35.415596
Satellite 71,-3722.3672,-5829.609,-97.956535,-3780.0376,-5795.7554,-152.99701,86.610565
Satellite 72,2500.9138,6133.734,-1828.6573,2437.4248,6180.5664,-1874.3154,91.15262
Satellite 73,-5204.6646,2646.537,-3717.186,-5101.889,2552.1316,-3635.9795,161.46109
Satellite 74,2662.6477,-5797.0522,2666.2563,2491.392,-5890.727,2690.1592,196.65909
Satellite 75,2783.9722,5971.9844,-2119.3406,2833.3894,5977.9805,-2077.1997,65.221695
Satellite 76,2375.9353,-1553.4945,-6288.9736,2414.9092,-1470.0256,-6288.226,92.122604
Satellite 77,-175.50662,-209.1603,-7559.0024,-437.07483,-196.28844,-7520.7666,264.6613
Satellite 78,4252.58,1802.9432,5182.9546,4312.9907,1741.6976,5150.823,91.83079
Satellite 79,6702.5415,-649.396,-2413.5034,6668.905,-575.28656,-2359.0059,97.94703
Satellite 80,-1613.7465,-2196.719,6237.144,-1449.5715,-2272.342,6187.4937,187.44977
Satellite 81,-27579.672,25435.15,14162.245,-27600.783,25649.092,14095.458,225.11581
Satellite 82,-2099.064,6247.533,-1886.8174,-2063.729,6252.4517,-2007.7288,126.06471
Satellite 83,-2896.3582,-3828.515,4979.0835,-2920.6548,-3841.667,5005.6455,38.32551
Satellite 84,-2523.6719,-4585.624,4542.038,-2433.8687,-4468.45,4596.5474,157.37085
Satellite 85,-3821.9194,6284.1045,-386.8737,-3817.9395,6282.911,-384.0999,4.9958153
Satellite 86,-5097.481,1238.2732,-4516.3647,-5101.889,1185.1093,-4602.775,101.55074
Satellite 87,1333.8918,1084.2434,-6547.8135,1238.646,1170.072,-6514.396,132.49547
Satellite 88,28028.22,-31366.418,-2709.452,28077.129,-31557.408,-2684.4507,198.73184
Satellite 89,5288.8735,-2935.9512,3346.6816,5335.622,-2918.2937,3376.3423,58.111668
Satellite 90,5750.104,2009.4526,4481.9653,5775.884,1968.6339,4484.635,48.35175
Satellite 91,-707.52136,6779.492,-1205.625,-665.8155,6761.863,-1168.5323,58.532383
Satellite 92,65.70801,-3318.2139,-6199.6196,198.08025,-3279.871,-6207.7905,138.05557
Satellite 93,1338.7388,-4284.397,5171.955,1238.646,-4175.127,5152.5493,149.44926
Satellite 94,-3376.115,-4653.7446,3881.8508,-3413.8464,-4673.3364,3881.958,42.514843
Satellite 95,-4728.542,-2321.825,-4492.031,-4753.344,-2281.3801,-4464.051,55.080074
Satellite 96,-2446.7727,6903.6807,-1574.9402,-2444.7505,6914.608,-1647.9642,73.864784
Satellite 97,6148.9263,3095.0098,-681.81494,6141.6025,3156.8196,-711.26984,68.85986
Satellite 98,6625.6074,-1897.9143,-2354.7502,6655.254,-1880.0768,-2356.5122,34.64384
Satellite 99,-2818.9907,-5926.2974,1946.0393,-2796.3274,-5887.321,1903.449,62.022057
Satellite 100,-3852.4436,1253.9868,5373.636,-3845.4907,1181.8027,5376.733,72.58425
Satellite 101,5426.413,-2051.2717,-3786.108,5357.694,-1987.7401,-3801.479,94.841286
Satellite 102,1250.2231,-217.47176,-7485.3193,1095.8179,-220.4106,-7458.978,156.66362
Satellite 103,-41345.887,-7918.6865,-2049.053,-41361.055,-7895.5586,-2044.6093,28.012766
Satellite 104,647.06305,3159.2693,6058.2554,843.0796,3197.7734,6110.809,206.55978
Satellite 105,-368.31387,-5856.0376,-3676.0796,-437.07483,-5903.2734,-3682.517,83.670395
Satellite 106,5683.41,-2462.572,4594.3115,5646.5903,-2487.8901,4576.987,47.925484
Satellite 107,3374.661,5945.365,-495.5119,3335.2366,6003.8696,-531.2218,79.07109
Satellite 108,1492.0674,2160.8318,-6128.936,1256.5768,2153.873,-6126.186,235.60945
Satellite 109,-2792.841,-6067.7173,1671.8376,-2805.2192,-6093.1846,1649.4485,36.09815
Satellite 110,3640.0916,-5081.814,-2969.9065,3621.9302,-5090.6685,-2980.153,22.654583
Satellite 111,5956.4097,2493.7502,-2216.5273,5859.595,2556.807,-2279.2197,131.45155
